emoji,code_points,description
👩🏽‍❤️‍💋‍👨🏾,1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,"kiss: woman, man, medium skin tone, medium-dark skin tone"
👩🏽‍❤️‍💋‍👨🏿,1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,"kiss: woman, man, medium skin tone, dark skin tone"
👩🏽‍❤️‍💋‍👩🏻,1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB,"kiss: woman, woman, medium skin tone, light skin tone"
👩🏽‍❤️‍💋‍👩🏼,1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC,"kiss: woman, woman, medium skin tone, medium-light skin tone"
👩🏽‍❤️‍💋‍👩🏽,1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD,"kiss: woman, woman, medium skin tone"
👩🏽‍❤️‍💋‍👩🏾,1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE,"kiss: woman, woman, medium skin tone, medium-dark skin tone"
👩🏽‍❤️‍💋‍👩🏿,1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF,"kiss: woman, woman, medium skin tone, dark skin tone"
👩🏽‍🤝‍👨🏻,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FB     ,"woman and man holding hands: medium skin tone, light skin tone"
👩🏽‍🤝‍👨🏼,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FC     ,"woman and man holding hands: medium skin tone, medium-light skin tone"
👩🏽‍🤝‍👨🏾,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FE     ,"woman and man holding hands: medium skin tone, medium-dark skin tone"
👩🏽‍🤝‍👨🏿,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FF     ,"woman and man holding hands: medium skin tone, dark skin tone"
👩🏽‍🤝‍👩🏻,1F469 1F3FD 200D 1F91D 200D 1F469 1F3FB     ,"women holding hands: medium skin tone, light skin tone"
👩🏽‍🤝‍👩🏼,1F469 1F3FD 200D 1F91D 200D 1F469 1F3FC     ,"women holding hands: medium skin tone, medium-light skin tone"
